Time[sec]	Top_Inplane_Disp[mm]
185.1806641	11.06380206
185.3808594	11.04291249
185.5810547	11.02289837
185.78125	11.0063618
185.9814453	10.98632161
186.1816406	10.96531283
186.3818359	10.94453596
186.5820313	10.92280168
186.7822266	10.89938544
186.9824219	10.88220067
187.1826172	10.8631663
187.3828125	10.84312983
187.5830078	10.8264517
187.7832031	10.8037563
187.9833984	10.78178361
188.1835938	10.76332387
188.3837891	10.74178983
188.5839844	10.7278293
188.7841797	10.7081281
188.984375	10.68369485
189.1845703	10.6655946
189.3847656	10.64623427
189.5849609	10.62208787
189.7851563	10.60652826
189.9853516	10.58403216
190.1855469	10.56386903
190.3857422	10.54581162
190.5859375	10.52280609
190.7861328	10.50523203
190.9863281	10.48249938
191.1865234	10.46340168
191.3867188	10.44599619
191.5869141	10.42519137
191.7871094	10.4067931
191.9873047	10.38788352
192.1875	10.36504842
192.3876953	10.34577284
192.5878906	10.32442506
192.7880859	10.311177
192.9882813	10.28684992
193.1884766	10.26284043
193.3886719	10.24372038
193.5888672	10.22212766
193.7890625	10.20177454
193.9892578	10.17876156
194.1894531	10.16365364
194.3896484	10.14394406
194.5898438	10.12176648
194.7900391	10.10272652
194.9902344	10.08562185
195.1904297	10.0637842
195.390625	10.0428313
195.5908203	10.02502162
195.7910156	10.00429597
195.9912109	9.982849471
196.1914063	9.966281243
196.3916016	9.944050573
196.5917969	9.924698621
196.7919922	9.89898853
196.9921875	9.881558828
197.1923828	9.862557985
197.3925781	9.845765308
197.5927734	9.823301807
197.7929688	9.803451598
197.9931641	9.783281013
198.1933594	9.763604961
198.3935547	9.747514501
198.59375	9.722776711
198.7939453	9.703595191
198.9941406	9.678095579
199.1943359	9.658807889
199.3945313	9.640443139
199.5947266	9.622375481
199.7949219	9.601351805
199.9951172	9.580661543
200.1953125	9.560726583
200.3955078	9.543565102
200.5957031	9.521996602
200.7958984	9.503992274
200.9960938	9.487233125
201.1962891	9.460407309
201.3964844	9.443222545
201.5966797	9.419753216
201.796875	9.403282776
201.9970703	9.384450503
202.1972656	9.365626611
202.3974609	9.33721941
202.5976563	9.320999496
202.7978516	9.301183745
202.9980469	9.28390678
203.1982422	9.260273539
203.3984375	9.238007478
203.5986328	9.225517511
203.7988281	9.204518981
203.9990234	9.17971693
204.1992188	9.163654409
204.3994141	9.143791161
204.5996094	9.125509299
204.7998047	9.095305577
205	9.079438634
205.2001953	9.061465971
205.4003906	9.041214362
205.6005859	9.022435173
205.8007813	9.00194142
206.0009766	8.984353393
206.2011719	8.962949738
206.4013672	8.945174515
206.6015625	8.920775726
206.8017578	8.900263347
207.0019531	8.882186376
207.2021484	8.86271894
207.4023438	8.846795186
207.6025391	8.821220137
207.8027344	8.800819516
208.0029297	8.780145086
208.203125	8.761771023
208.4033203	8.738078177
208.6035156	8.722937666
208.8037109	8.703155443
209.0039063	8.678055368
209.2041016	8.659283631
209.4042969	8.641068824
209.6044922	8.621896617
209.8046875	8.598584682
210.0048828	8.584444411
210.2050781	8.560820483
210.4052734	8.540532552
210.6054688	8.521971293
210.8056641	8.496774361
211.0058594	8.480266668
211.2060547	8.456495591
211.40625	8.440136909
211.6064453	8.424633183
211.8066406	8.399047889
212.0068359	8.383236825
212.2070313	8.361347951
212.4072266	8.342688903
212.6074219	8.317993023
212.8076172	8.304143324
213.0078125	8.281647228
213.2080078	8.261334151
213.4082031	8.23921524
213.6083984	8.218334988
213.8085938	8.198687807
214.0087891	8.179095574
214.2089844	8.159606718
214.4091797	8.142162114
214.609375	8.121283725
214.8095703	8.100640029
215.0097656	8.080183528
215.2099609	8.060835302
215.4101563	8.037784137
215.6103516	8.02148506
215.8105469	8.000426926
216.0107422	7.978184149
216.2109375	7.960236631
216.4111328	7.943295874
216.6113281	7.923064753
216.8115234	7.901878096
217.0117188	7.882420905
217.2119141	7.861289196
217.4121094	7.839675993
217.6123047	7.818480022
217.8125	7.798519451
218.0126953	7.785604801
218.2128906	7.757674437
218.4130859	7.738912944
218.6132813	7.720213383
218.8134766	7.700037677
219.0136719	7.678613998
219.2138672	7.662909571
219.4140625	7.638232782
219.6142578	7.620548364
219.8144531	7.599309087
220.0146484	7.579141762
220.2148438	7.556194905
220.4150391	7.540341467
220.6152344	7.518079132
220.8154297	7.501806132
221.015625	7.482066285
221.2158203	7.462792564
221.4160156	7.439800538
221.6162109	7.423766423
221.8164063	7.3996922
222.0166016	7.383171469
222.2167969	7.359657437
222.4169922	7.339528296
222.6171875	7.323582657
222.8173828	7.301735226
223.0175781	7.278264966
223.2177734	7.259046193
223.4179688	7.238722872
223.6181641	7.218957879
223.8183594	7.20072398
224.0185547	7.17660971
224.21875	7.15892436
224.4189453	7.141005713
224.6191406	7.120650727
224.8193359	7.100029849
225.0195313	7.080815732
225.2197266	7.059392054
225.4199219	7.03842286
225.6201172	7.018139586
225.8203125	6.998047698
226.0205078	6.981815677
226.2207031	6.957854144
226.4208984	6.940437015
226.6210938	6.916976534
226.8212891	6.901503541
227.0214844	6.882294547
227.2216797	6.854586303
227.421875	6.842288189
227.6220703	6.824283861
227.8222656	6.798643153
228.0224609	6.77879015
228.2226563	6.760313176
228.4228516	6.743305363
228.6230469	6.72146352
228.8232422	6.695705466
229.0234375	6.675889716
229.2236328	6.655758247
229.4238281	6.638190709
229.6240234	6.622000597
229.8242188	6.601057947
230.0244141	6.579496898
230.2246094	6.566209719
230.4248047	6.543081719
230.625	6.51917886
230.8251953	6.494595204
231.0253906	6.476426497
231.2255859	6.453610491
231.4257813	6.438544951
231.6259766	6.420270074
231.8261719	6.401177496
232.0263672	6.38342835
232.2265625	6.361175794
